"Country","Mean years of schooling","Share of seats in parliament","Women with account at financial institution or with mobile money-service provider","Gender Inequality Index","Prevalence of violence in the lifetime","Attitudes toward violence","Social Institutions and Gender Index"
"Pakistan",5.158944258,20,7.025063992,0.538,85,42.2,58.7
"Senegal",3.183085,41.81818182,38.44960785,0.533,78,56.5,37
"Benin",3.826328,7.228915663,28.58588791,0.612,68.6,36,39.8
"Yemen",3.2,0.970873786,1.671490073,0.795,67,48.7,64
"Iran",10.34749,5.882352941,91.61125946,0.459,66,21,58.3
"Bolivia (Plurinational State of)",9.017540839,51.80722892,53.85283279,0.417,64.1,16.1,21.4
"Lesotho",6.53928325,23.02631579,46.46006012,0.553,62,37.1,38.1
"Afghanistan",3.93,27.24358974,7.160684586,0.655,60.8,80.2,52.8
"Bangladesh",6.219339024,20.63037249,35.83634567,0.537,53.3,28.3,54.8
"Cameroon",6.310862,29.28571429,30.0303688,0.56,51.1,36.1,51.8
"Congo (Democratic Republic of the)",6.76008,11.98686371,24.21882248,0.617,50.7,74.8,39.5
"Uganda",6.171951533,34.8583878,52.70641327,0.535,49.9,58.3,45.1
"Gabon",8.698,17.94871795,53.70412445,0.525,48.6,50.2,40.1
"Moldova",11.70817,25.74257426,44.55144882,0.204,45.5,11.2,21.4
"Sierra Leone",3.7,12.32876712,15.35897541,0.644,45.3,62.8,47.6
"Thailand",7.9391,14.13333333,79.78010559,0.359,44.2,8.6,35.5
"Zambia",7.152016,17.96407186,40.27887726,0.539,42.7,46.9,34.8
"Tanzania",6.122,36.8956743,42.15222168,0.556,41.7,58,46.1
"Kenya",6.564,23.26139089,77.74636841,0.518,39.4,41.8,35.5
"Liberia",4.806,11.65048544,28.16200256,0.65,38.5,42.5,47.5
"Turkey",8.10682,17.44966443,54.29382324,0.306,38,13.3,25.1
"Ecuador",8.907169486,37.95620438,42.6063385,0.384,37.5,25.2,28.9
"Malawi",4.73,22.91666667,29.84548759,0.565,37.5,16.3,41.4
"Colombia",8.46873,19.56521739,42.47443008,0.428,37.4,11.1,15
"Costa Rica",8.74194,45.61403509,60.87906265,0.288,36,3.5,27.9
"United States",13.41344,23.72881356,92.68624878,0.204,35.6,11,17.9
"Zimbabwe",8.4668,34.57142857,51.66492462,0.527,35.4,38.7,32.4
"New Zealand",12.78207732,40.83333333,99.34078217,0.123,35,7.7,16.7
"Mali",2.352954412,9.523809524,25.71192169,0.671,34.6,72.6,46
"Rwanda",4.417150539,55.66037736,44.96050262,0.402,34.4,41.4,27.6
"Viet Nam",8.32,26.72064777,30.41970062,0.296,34.4,28.2,25.3
"Brazil",7.9813,14.98316498,67.51464844,0.408,33.5,8.5,21.2
"Peru",9.69633,30,34.435215,0.395,33.2,32.2,24.5
"Myanmar",5.034490583,11.56773212,25.97871208,0.478,33,51.2,42.4
"Denmark",12.61380326,39.10614525,100,0.038,32,0,10.4
"Latvia",13.03085,30,92.54244232,0.176,32,2,17.8
"Mongolia",10.2512725,17.33333333,94.95379639,0.322,31.2,10.1,20
"Trinidad and Tobago",11.034,32.87671233,73.6030426,0.323,30.2,9.9,23.5
"Finland",12.82413,47,99.58627319,0.047,30,11.2,15.3
"Morocco",5.648,18.44660194,16.80644608,0.454,30,22,50.8
"Central African Republic",4.282,8.571428571,9.717617035,0.68,29.8,79.6,43.4
"United Kingdom",13.24287,28.90896456,96.07344055,0.118,29,10.2,17.5
"India",6.5,13.48600509,76.63963318,0.488,28.7,22.1,34
"Chad",2.52368,14.88095238,14.85025883,0.71,28.6,73.5,45.4
"Ethiopia",2.883189,37.28571429,29.07543182,0.517,28,63,29.6
"Sweden",12.54847,47.27793696,100,0.039,28,10.2,10.5
"North Macedonia",9.812715,39.16666667,72.88609314,0.143,27.7,14.5,18
"Norway",12.89775,40.82840237,100,0.045,27,9.9,14.5
"El Salvador",6.907268,30.95238095,24.37995911,0.383,26.3,7.7,22.9
"France",11.4795,36.86486486,91.28713226,0.049,26,6.6,11.1
"Côte d'Ivoire",5.288,13.27683616,35.56497955,0.638,25.9,47.9,42.8
"Kyrgyzstan",11.10481377,19.16666667,38.85499954,0.369,25.4,32.8,23.2
"Belarus",12.30584324,34.93975904,81.33817291,0.118,25,4.1,20.6
"Namibia",6.99,36.95652174,80.66267395,0.44,25,28.2,27.1
"Nepal",5.014,33.53293413,41.60002136,0.452,25,42.9,36.2
"Netherlands",12.4148,33.77777778,99.83270264,0.043,25,6.4,16.1
"Albania",10.14573,29.50819672,38.10295868,0.181,24.6,29.8,22.6
"Ghana",7.306,13.09090909,53.72341919,0.538,24.4,28.3,34.5
"Belgium",12.05027,43.33333333,98.81755066,0.043,24,2,11.2
"Lithuania",13.07721,21.27659574,81.01387024,0.124,24,2,15.6
"Romania",11.0708,19.56989247,53.59091949,0.276,24,7.5,16.6
"Serbia",11.19411,37.65182186,70.12700653,0.132,23.7,3.8,19.8
"Jordan",10.518,15.38461538,26.61338997,0.45,23.6,18,57.3
"Bulgaria",11.36009,25.83333333,73.63685608,0.206,23,18.2,23.4
"Nicaragua",6.912,44.56521739,24.79252815,0.428,22.5,13.7,18.6
"Togo",4.949925584,16.48351648,37.59315491,0.573,22.1,28.7,49.5
"Germany",14.15168,31.61953728,99.19924927,0.084,22,19.6,15
"Mozambique",3.540898438,41.2,32.87394714,0.523,21.7,22.9,24.3
"Honduras",6.573452,21.09375,40.95068741,0.423,21.6,12.4,22.4
"Iraq",7.316,25.22796353,19.50482178,0.577,21.2,54.8,53.7
"Hungary",11.96329,12.56281407,72.15751648,0.233,21,8.7,25.7
"Cambodia",4.966,19.2513369,21.52639389,0.474,20.9,50.4,29.5
"Haiti",5.592369636,2.739726027,30.04561424,0.636,20.8,58.9,39.9
"South Africa",10.24064634,45.33333333,69.98981476,0.406,20.6,61.2,22.4
"Dominican Republic",8.123720269,24.32432432,54.14283752,0.455,20.4,2,18.2
"Tajikistan",10.7337,20,42.13079453,0.314,20.3,59.6,32.4
"Tunisia",7.22022,22.58064516,28.36343575,0.296,20.3,18.6,47.6
"Estonia",13.14306146,29.7029703,98.37523651,0.086,20,16.9,14.1
"Jamaica",9.73305,19.04761905,77.7620163,0.396,19.7,4.9,24.7
"Russia",12.17244258,16.4516129,76.13137054,0.225,19.6,23.3,22.3
"Greece",10.55207,20.66666667,84.53689575,0.116,19,2,27.1
"Italy",10.37955,35.26315789,91.62443542,0.069,19,5.3,13.5
"Portugal",9.26347,38.69565217,90.62212372,0.075,19,2,11.2
"Indonesia",8.16668,17.39130435,51.35491943,0.48,18.3,34.5,41.6
"Guatemala",6.62261,19.375,42.08628082,0.479,18,11,28.6
"Paraguay",8.53508,16.8,46.04944992,0.446,17.9,22.9,32.8
"Australia",12.72469119,36.56387665,99.19509125,0.097,16.9,3.2,16.1
"Philippines",9.393091398,28.04878049,38.85416412,0.43,16.9,12.9,52.8
"Sri Lanka",10.63257,5.333333333,73.44207001,0.401,16.6,53.2,43
"Kazakhstan",11.8949,22.07792208,60.28655243,0.19,16.5,14.2,22.5
"Korea",12.21376462,16.66666667,94.68531036,0.064,16.5,18.4,23.4
"Japan",12.85,14.50704225,98.06467438,0.094,15.4,8.9,24
"Lao People's Democratic Republic",5.288,27.51677852,31.87420273,0.459,15.3,58.2,26.2
"Cyprus",12.17123,17.85714286,90.01422119,0.086,15,10.5,28.3
"Ireland",12.6663305,24.31192661,95.30703735,0.093,15,1,17.1
"Malta",11.32613,14.92537313,96.96466064,0.175,15,0,21.5
"Uruguay",8.92573,20.93023256,60.62883759,0.288,14.8,1.5,22.2
"Mexico",8.75461,48.40764331,33.28747559,0.322,14.1,5,29
"Azerbaijan",10.57543,16.80672269,27.71962547,0.323,13.5,28,28.7
"Ukraine",11.39749842,20.51886792,61.32117462,0.234,13.2,2.9,21
"Bosnia and Herzegovina",9.81787,21.05263158,54.7417984,0.149,13.1,4.8,21.8
"Austria",12.5461436,38.52459016,98.37577057,0.069,13,3,11.7
"Croatia",11.44932,20.52980132,82.69694519,0.116,13,4.4,19.3
"Poland",12.47232,27.85714286,87.96221924,0.115,13,7.9,17.4
"Slovenia",12.65874,22.30769231,96.93920898,0.063,13,15.8,12.9
"Spain",10.25178,41.85667752,91.64125061,0.07,13,9.6,14.3
"Burkina Faso",1.644298557,13.38582677,34.4989357,0.594,11.5,43.5,32.4
"Lebanon",8.718636,4.6875,32.90546417,0.411,10.4,43.6,56.2
"Switzerland",13.38081241,38.61788618,98.85665131,0.025,9.8,15.2,8.1
"Armenia",11.30174,23.48484848,40.90643692,0.245,8.2,10.1,27.8
"Chile",10.58295,22.72727273,71.27378845,0.247,6.7,10.3,36.1
"Georgia",13.13296,14.76510067,63.61225891,0.331,6.1,8.6,24.8
"Singapore",11.62461,23,96.31292725,0.065,6.1,40.5,27
"Canada",13.36610479,33.18284424,99.85279846,0.08,1.9,7.8,18.3
